,IM,Slight,Moderate,Extensive,Complete
0,0.01,7.195835099209761e-09,1.1679996535570119e-09,4.396536678613305e-11,6.039412383080688e-13
1,0.06040404040404041,0.003778908397683149,0.001464560466921216,0.00024249207465784885,2.004026437223162e-05
2,0.11080808080808081,0.04846011458569898,0.024774293129101732,0.006612055776182867,0.0009814947937190983
3,0.16121212121212125,0.15031054057061127,0.09028994557006753,0.031954992940110394,0.00673855098481594
4,0.21161616161616165,0.28039089849679677,0.18793005216079522,0.08084870237556063,0.021822471554041847
5,0.26202020202020204,0.4107557084899603,0.29823948020426716,0.1484032258068167,0.048316006546513406
6,0.3124242424242425,0.526960935443026,0.4066245040612701,0.22660558295905397,0.08562918593381219
7,0.3628282828282829,0.6243448103339093,0.5052031508105069,0.30825845390649126,0.13159307339596982
8,0.4132323232323233,0.7032297622315967,0.5908931988090026,0.38820810863012345,0.18350408354651826
9,0.4636363636363637,0.7659365627766039,0.6633637105623416,0.4632796027867136,0.23876710737351264
10,0.5140404040404041,0.8152825336320461,0.7236312537581717,0.5318127595081954,0.2951946966951465
11,0.5644444444444445,0.8539285879195917,0.7732410951662219,0.5931779820297548,0.3510928474522498
12,0.614848484848485,0.8841495730694264,0.8138356205074047,0.6473902346532104,0.4052367752134378
13,0.6652525252525253,0.9077964339672826,0.8469495503989957,0.6948349057606937,0.4568006875982639
14,0.7156565656565658,0.92633537906405,0.8739286831421283,0.7360859802042107,0.5052761403914675
15,0.7660606060606061,0.9409107207059698,0.8959117499265176,0.7717915374051549,0.5503954558518437
16,0.8164646464646466,0.9524084586861664,0.9138419308545125,0.8026052418676834,0.5920666500401088
17,0.866868686868687,0.9615120245481159,0.9284902996664318,0.8291479395524533,0.6303212221290526
18,0.9172727272727274,0.9687480345945738,0.940482243364071,0.8519883031927606,0.6652738386328032
19,0.9676767676767678,0.974522550081572,0.9503226524587683,0.8716351349583937,0.6970920856480475
20,1.0180808080808081,0.979149252923968,0.9584181678314916,0.888536521770698,0.7259743187441507
21,1.0684848484848486,0.9828710959185203,0.9650960232979388,0.903082791291991,0.7521338127974095
22,1.118888888888889,0.9858768386385421,0.9706196130671033,0.9156113735177385,0.7757876979039855
23,1.1692929292929295,0.988313642135424,0.9752011570224776,0.9264124221627106,0.7971494642086355
24,1.21969696969697,0.990296655727496,0.9790119061358945,0.9357345275805202,0.8164240857930471
25,1.2701010101010102,0.991916320118633,0.9821903172215272,0.9437901525305833,0.8338050376291057
26,1.3205050505050506,0.9932439407810968,0.9848485786416191,0.9507606066239396,0.8494726592774352
27,1.370909090909091,0.9943359517464976,0.9870778107011865,0.9568004862452711,0.8635934593398389
28,1.4213131313131315,0.9952371870385314,0.9889522078324445,0.9620415712209243,0.8763200622351626
29,1.471717171717172,0.9959833988054502,0.9905323391431653,0.9665962049621236,0.887791580193874
30,1.5221212121212122,0.9966032022526891,0.9918677809951603,0.9705602024630309,0.8981342542118207
31,1.5725252525252527,0.9971195831844818,0.9929992198896255,0.9740153374992718,0.9074622528339484
32,1.622929292929293,0.9975510707437923,0.9939601352772096,0.9770314611430286,0.9158785508591869
33,1.6733333333333336,0.9979126530270391,0.9947781489742209,0.9796683010815173,0.9234758343350106
34,1.723737373737374,0.9982164945484681,0.9954761096489942,0.9819769869105891,0.9303373958207791
35,1.7741414141414142,0.998472500465591,0.9960729664426897,0.9840013416015954,0.9365379965697753
36,1.8245454545454547,0.9986887618773939,0.9965844744393184,0.9857789743024777,0.9421446813099735
37,1.8749494949494951,0.9988719084966243,0.9970237657677367,0.9873422048591498,0.9472175376641125
38,1.9253535353535356,0.9990273889260747,0.9974018130921661,0.9887188460914582,0.9518103966628555
39,1.975757575757576,0.9991596941526691,0.9977278067193528,0.9899328659914075,0.9559714738055813
40,2.026161616161616,0.9992725363521022,0.9980094621969251,0.9910049486347177,0.9597439521063335
41,2.0765656565656565,0.999368992402077,0.9982532718449207,0.9919529696837521,0.9631665098178023
42,2.126969696969697,0.9994516194329722,0.9984647109517982,0.9927923998686159,0.9662737962664512
43,2.1773737373737374,0.9995225481504743,0.9986484072218617,0.9935366477161727,0.9690968596120948
44,2.227777777777778,0.9995835584321987,0.9988082803612832,0.9941973510059309,0.9716635304779903
45,2.2781818181818183,0.9996361407443092,0.9989476573397754,0.9947846249219567,0.9739987653641725
46,2.3285858585858588,0.9996815461801275,0.9990693677901968,0.9953072736000699,0.9761249536156915
47,2.378989898989899,0.9997208273418144,0.9991758231508631,0.9957729707031776,0.9780621915101368
48,2.4293939393939397,0.9997548718311671,0.999269082469602,0.9961884137629934,0.9798285267845723
